"handle","name","content","replies","retweets","favorites","unix_timestamp","date","url","__url"
"@StollmeyerEU","Alice Stollmeyer","HUGE shout-out to #AltGov & #GeeksResist for coming to the rescue of #Harvey victims!

#HarveyRelief #HarveyRescue

","28","770","1.5K","1504025030000","29 Aug 2017","/StollmeyerEU/status/902572513024065537","https://twitter.com/search?l=en&q=help%20OR%20rescue%20OR%20imminent%20OR%20danger%20%23NeedWaterRescue%20OR%20%23HarveySOS%20OR%20%23waterrescue%20OR%20%23HarveyRescue%20OR%20%23houstonsos%20OR%20%23houstonrescue%20OR%20%23houstonhelpneeded%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@AynRandPaulRyan","Holly Figueroa O'Reilly","Flood warning for #orangetx.
If you need help, use the HT #harveySOS.
Tag @HarveyRescue","4","101","59","1504552655000","4 Sep 2017","/AynRandPaulRyan/status/904785533112508417","https://twitter.com/search?l=en&q=help%20OR%20rescue%20OR%20imminent%20OR%20danger%20%23NeedWaterRescue%20OR%20%23HarveySOS%20OR%20%23waterrescue%20OR%20%23HarveyRescue%20OR%20%23houstonsos%20OR%20%23houstonrescue%20OR%20%23houstonhelpneeded%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@th3j35t3r","JΞSŦΞR ✪ ΔCŦUΔL³³º¹","#HoustonSOS - Cajun/TX Navy rescue site - it's real simple - are you a rescuer, or do you need to be rescued? >>  http://www.houstonharveyrescue.com/ ","7","169","198","1503985564000","28 Aug 2017","/th3j35t3r/status/902406980425310208","https://twitter.com/search?l=en&q=help%20OR%20rescue%20OR%20imminent%20OR%20danger%20%23NeedWaterRescue%20OR%20%23HarveySOS%20OR%20%23waterrescue%20OR%20%23HarveyRescue%20OR%20%23houstonsos%20OR%20%23houstonrescue%20OR%20%23houstonhelpneeded%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@TheSWPrincess","Leia","I'm amazed & inspired at the incredible people in #GeeksResist & #TheResistance working together to help 
#HarveyRescue efforts. #Heroes","20","392","727","1504023491000","29 Aug 2017","/TheSWPrincess/status/902566058380353536","https://twitter.com/search?l=en&q=help%20OR%20rescue%20OR%20imminent%20OR%20danger%20%23NeedWaterRescue%20OR%20%23HarveySOS%20OR%20%23waterrescue%20OR%20%23HarveyRescue%20OR%20%23houstonsos%20OR%20%23houstonrescue%20OR%20%23houstonhelpneeded%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@StollmeyerEU","Alice Stollmeyer","Update:

@HarveyRelief & @HarveyRescue still doing awesome work.

191 rescued & counting!

Ask help: #HarveySOS 
Report rescue: #HarveySafe","8","153","221","1504040362000","29 Aug 2017","/StollmeyerEU/status/902636820206424066","https://twitter.com/search?l=en&q=help%20OR%20rescue%20OR%20imminent%20OR%20danger%20%23NeedWaterRescue%20OR%20%23HarveySOS%20OR%20%23waterrescue%20OR%20%23HarveyRescue%20OR%20%23houstonsos%20OR%20%23houstonrescue%20OR%20%23houstonhelpneeded%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@ChaliceGarden","Lady V 👩‍💻 🔥 💚",".#CajunNavy needs strong certified swimmers tomorrow: http://bit.do/harveystage  13210 Katy Frwy. Omni Hotel needs help tonight #HoustonRescue","6","191","137","1504058816000","29 Aug 2017","/ChaliceGarden/status/902714220302573568","https://twitter.com/search?l=en&q=help%20OR%20rescue%20OR%20imminent%20OR%20danger%20%23NeedWaterRescue%20OR%20%23HarveySOS%20OR%20%23waterrescue%20OR%20%23HarveyRescue%20OR%20%23houstonsos%20OR%20%23houstonrescue%20OR%20%23houstonhelpneeded%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@altNOAA","Alternative NOAA","Baby with heart condition, 3 adults - need rescue
3724 Boulder Ave, Port Arthur, TX 
#HarveySOS","24","306","128","1504083103000","30 Aug 2017","/altNOAA/status/902816087397601280","https://twitter.com/search?l=en&q=help%20OR%20rescue%20OR%20imminent%20OR%20danger%20%23NeedWaterRescue%20OR%20%23HarveySOS%20OR%20%23waterrescue%20OR%20%23HarveyRescue%20OR%20%23houstonsos%20OR%20%23houstonrescue%20OR%20%23houstonhelpneeded%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@altNOAA","Alternative NOAA","If you're in #PortArthur & need immediate help: FIRST, call 911, SECOND call USCG: 409-867-8757, 409-983-8707, 409-983-8663. #HarveySOS","","142","78","1504080759000","30 Aug 2017","/altNOAA/status/902806255642828801","https://twitter.com/search?l=en&q=help%20OR%20rescue%20OR%20imminent%20OR%20danger%20%23NeedWaterRescue%20OR%20%23HarveySOS%20OR%20%23waterrescue%20OR%20%23HarveyRescue%20OR%20%23houstonsos%20OR%20%23houstonrescue%20OR%20%23houstonhelpneeded%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@KaraBranch12","Kara Branch","@HarveyRescue 3 adults and 4 children need help. 3605 Jimmy Johnson Blvd Apt. 1002 Port Arthur TX 77642. #HarveySOS","8","19","9","1504079754000","30 Aug 2017","/KaraBranch12/status/902802041478803456","https://twitter.com/search?l=en&q=help%20OR%20rescue%20OR%20imminent%20OR%20danger%20%23NeedWaterRescue%20OR%20%23HarveySOS%20OR%20%23waterrescue%20OR%20%23HarveyRescue%20OR%20%23houstonsos%20OR%20%23houstonrescue%20OR%20%23houstonhelpneeded%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@tegan626","Tegan","My great grandfather needs a rescue at 340 West 17th St. Port Arthur, TX 77640 - still needs help as of 53 mins ago (@tierrab19) #HarveySOS","7","20","13","1504131891000","30 Aug 2017","/tegan626/status/903020721378648068","https://twitter.com/search?l=en&q=help%20OR%20rescue%20OR%20imminent%20OR%20danger%20%23NeedWaterRescue%20OR%20%23HarveySOS%20OR%20%23waterrescue%20OR%20%23HarveyRescue%20OR%20%23houstonsos%20OR%20%23houstonrescue%20OR%20%23houstonhelpneeded%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
